,unit_id,pref_name,NDVI_slope,NDBI_slope,viirs_mean_slope,S2_NDBI_contrast_slope,NDVI_cv,NDVI_seasonal_amp,NDBI_seasonal_amp,S2_NDBI_contrast_mean,S2_NDBI_entropy_mean,elderly_ratio,aging_index,youth_ratio,household_size,pop_total
0,aza:Akita:05201001001,Akita,0.248578,0.039913,-6.269527,-1152.429316,0.9792365852035707,0.270466,0.413641,3736.3541504329037,3.7321553784483124,0.3880867518819724,5.374999557904529,0.07220255592789794,2.106463377714709,553.999808123342
1,aza:Akita:05201001002,Akita,0.248533,0.040392,-7.331823,-722.66311,0.9813754381096088,0.270472,0.415709,4940.632159090909,3.8438055226271626,0.20060801144279694,3.882352654930745,0.05167220606484244,1.41810257081798,328.99987633436143
2,aza:Akita:05201001003,Akita,0.24757,0.040432,-5.866337,-1669.093952,0.9824199364925934,0.269102,0.413219,3915.377030187077,4.04351558424653,0.4339623735744515,5.749999518750159,0.07547207464997546,1.9629623837905414,52.99997430740447
3,aza:Akita:05201001004,Akita,0.249204,0.039975,-6.98087,-479.839189,0.978949448207225,0.27137,0.415661,5014.067418831167,3.0927319147449586,0.2850747358321741,3.080644958752231,0.09253762041258043,1.6708222035377798,669.9997751287267
4,aza:Akita:05201001005,Akita,0.247661,0.040021,-3.907383,-874.7016,0.9805287488945379,0.269178,0.411596,4602.717724116165,3.555549597611038,0.36588731691744253,4.222221900490184,0.0866578275062532,1.9917802585218356,726.9997593397442
5,aza:Akita:05201001006,Akita,0.246476,0.040955,-7.609479,-1022.084618,0.9857713909071397,0.267615,0.412577,6463.359523809521,4.126959009769845,0.26530623135480325,4.333333,0.061224924402283096,1.7981644682230469,195.99992050213288
6,aza:Akita:05201001007,Akita,0.246324,0.040718,-5.118173,-952.4837,0.984834975834374,0.267371,0.411076,4668.386385281386,3.6325598336917935,0.2608445276312842,2.4117645731831745,0.10815524621610638,1.895832717410535,1728.9995116922148
7,aza:Akita:05201002001,Akita,0.249958,0.039097,-3.919365,-839.271457,0.9745561362026607,0.272315,0.413738,6258.951515151513,3.2402849347139124,0.3509934866522816,3.785714009558762,0.09271553804265414,1.6840141380048357,452.99983795069886
8,aza:Akita:05201002003,Akita,0.249849,0.039451,-6.074728,-480.484362,0.9761221771567518,0.272218,0.415057,6085.15690151515,3.4026987166556055,0.2917772973159882,3.7931031713488235,0.07692344754423103,1.8849993781464511,376.9998612121583
9,aza:Akita:05201002004,Akita,0.250107,0.039658,-7.137484,-191.552131,0.9767857710823193,0.272612,0.416713,5279.826930014428,3.1652648048413607,0.3133048300831967,6.636363062567105,0.04721079215539396,1.595889630831186,465.9998340465026
10,aza:Akita:05201002005,Akita,0.250816,0.039235,-6.325153,-875.870127,0.9743566428675053,0.273566,0.416739,4432.1850189393945,3.64777233248496,0.11776457951083369,0.819444478002056,0.14371267324694958,1.5955406209551006,500.99982363410624
11,aza:Akita:05201002006,Akita,0.251063,0.038839,-4.294063,-391.674254,0.9724856531952725,0.273871,0.415625,4358.395186881573,3.9539803029592036,0.2137734229513757,3.6341460811333506,0.05882397380410283,1.5540683162635638,1393.9995894887386
12,aza:Akita:05201002007,Akita,0.251715,0.039204,-5.509995,-253.311814,0.973457375966689,0.274859,0.419104,5930.505757575758,2.4495416310008253,0.2458472849258293,6.7272721439842265,0.03654538569540682,1.406541172287555,601.999794320742
13,aza:Akita:05201003001,Akita,0.24557,0.041324,-9.751779,-657.431937,0.9883201061043507,0.266374,0.411752,7275.932626262625,3.3991051419391947,0.32467543376338015,4.411764364359871,0.07359345778684814,1.9012339549353632,461.9998352456154
14,aza:Akita:05201003002,Akita,0.247604,0.040829,-8.803362,-1063.626226,0.9841862408831273,0.269195,0.415121,8098.471672077923,3.153520990690973,0.04597711972685309,3.999999701470551,0.01149489017330782,1.0481916911174158,86.99996052955125
15,aza:Akita:05201003003,Akita,0.245229,0.041547,-9.826676,-757.267289,0.9896862324713666,0.265918,0.411827,7123.112441378065,3.616091341692608,0.32916156091659393,4.9622637519423565,0.06633332993032623,1.5697438028081634,798.9997397498926
16,aza:Akita:05201003004,Akita,0.247406,0.041008,-8.695783,-647.354814,0.9852004221181613,0.268941,0.415401,5995.111647727273,3.7198899473107674,0.5689656270792754,23.099997707207997,0.024631125630018263,1.9708732115661567,405.99985224382937
17,aza:Akita:05201003005,Akita,0.2449,0.041793,-7.028154,-242.849729,0.9911502334444275,0.265487,0.412046,5599.822159090906,3.8732982903643594,0.2679426926459736,3.9436616791838834,0.06794299095642578,1.5833325463311942,1044.9996753783703
